n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
186 , 12806.631 , 40.0 , 1 
187 , 12285.656 , 74.0 , 1 
188 , 11379.985 , 40.0 , 1 
189 , 10401.477 , 1023.141 , 1 
190 , 8028.841 , 6000.0 , 1 
191 , 12773.949 , 6000.0 , 1 
192 , 15051.401 , 6000.0 , 1 
193 , 15872.6 , 6000.0 , 1 
194 , 15858.914 , 40.0 , 1 
195 , 15838.361 , 40.0 , 1 
196 , 15086.57 , 984.63 , 1 
197 , 12671.262 , 1821.566 , 1 
198 , 9651.793 , 40.0 , 1 
199 , 10083.132 , 765.624 , 1 
200 , 8850.516 , 6000.0 , 1 

 a,b = (0.4,0.25) 
101 , 9509.306 , 6000.0 , 1 
102 , 8974.898 , 3900.0 , 1 
103 , 9339.096 , 6000.0 , 1 
104 , 9593.771 , 6000.0 , 1 
105 , 9348.999 , 6000.0 , 1 
106 , 8903.949 , 6000.0 , 1 
107 , 8413.284 , 40.0 , 1 
108 , 11281.602 , 913.939 , 1 
109 , 10923.82 , 40.0 , 1 
110 , 10286.194 , 1245.482 , 1 
111 , 8251.356 , 40.0 , 1 
112 , 7358.378 , 339.942 , 1 
113 , 6044.736 , 6000.0 , 1 
114 , 12184.659 , 6000.0 , 1 
115 , 14329.16 , 6000.0 , 1 
116 , 14461.27 , 6000.0 , 1 
117 , 13674.589 , 6000.0 , 1 
118 , 12553.126 , 6000.0 , 1 
119 , 11393.155 , 6000.0 , 1 
120 , 10331.852 , 40.0 , 1 
121 , 12697.617 , 816.126 , 1 
122 , 12030.775 , 1509.833 , 1 
123 , 10193.005 , 6000.0 , 1 
124 , 13665.149 , 6000.0 , 1 
125 , 14461.1 , 6000.0 , 1 
126 , 13973.168 , 40.0 , 1 
127 , 14834.187 , 64.0 , 1 
128 , 13727.827 , 44.8 , 1 
129 , 11875.102 , 720.839 , 1 
130 , 9452.723 , 6000.0 , 1 
131 , 14363.322 , 6000.0 , 1 
132 , 15736.756 , 6000.0 , 1 
133 , 15381.13 , 40.0 , 1 
134 , 15690.052 , 369.063 , 1 
135 , 14066.621 , 40.0 , 1 
136 , 12163.758 , 303.674 , 1 
137 , 9936.892 , 197.388 , 1 
138 , 8035.254 , 5658.208 , 1 
139 , 13288.073 , 6000.0 , 1 
140 , 15367.362 , 6000.0 , 1 
141 , 15366.308 , 1154.922 , 1 
142 , 14893.689 , 1847.875 , 1 
143 , 12891.363 , 1293.512 , 1 
144 , 11218.583 , 40.0 , 1 
145 , 10225.432 , 1390.718 , 1 
146 , 8107.69 , 40.0 , 1 
147 , 7198.548 , 64.0 , 1 
148 , 6059.182 , 44.8 , 1 
