n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
137 , 14291.2955379 , 4200.0 , 1 
138 , 13228.6547256 , 6000.0 , 1 
139 , 12053.4968122 , 40.0 , 1 
140 , 11731.7885151 , 937.591 , 1 
141 , 13346.3634628 , 1500.146 , 1 
142 , 12203.731243 , 1050.102 , 1 
143 , 10225.3997198 , 6000.0 , 1 
144 , 8732.65156236 , 40.0 , 1 
145 , 13091.585927 , 1291.936 , 1 
146 , 12658.6289234 , 2390.082 , 1 
147 , 10450.7737794 , 6000.0 , 1 
148 , 9183.95758168 , 6000.0 , 1 
149 , 12988.3879345 , 6000.0 , 1 
150 , 14001.5427999 , 6000.0 , 1 
151 , 13657.3082093 , 6000.0 , 1 
152 , 12736.6718226 , 4200.0 , 1 
153 , 11648.7182663 , 4590.667 , 1 
154 , 11052.1305748 , 40.0 , 1 
155 , 9864.05285614 , 715.656 , 1 
156 , 11532.4794971 , 1145.05 , 1 
157 , 10728.6299359 , 801.535 , 1 
158 , 9107.9638397 , 40.0 , 1 
159 , 7788.48171246 , 290.642 , 1 
160 , 6952.94108395 , 6000.0 , 1 
161 , 5735.26849273 , 3900.0 , 1 
162 , 12003.6218883 , 40.0 , 1 
163 , 11284.0187275 , 980.972 , 1 
164 , 11174.6973685 , 6000.0 , 1 
165 , 9447.44982005 , 6000.0 , 1 
166 , 13690.8615443 , 6000.0 , 1 
167 , 14831.3106657 , 4200.0 , 1 
168 , 14461.3817038 , 6000.0 , 1 
169 , 12610.9681567 , 6000.0 , 1 
170 , 12447.8696512 , 6000.0 , 1 
171 , 11729.6883586 , 6000.0 , 1 
172 , 10833.537941 , 4200.0 , 1 
173 , 9946.91645903 , 6000.0 , 1 
174 , 9897.49244718 , 6000.0 , 1 
175 , 9866.95401656 , 6000.0 , 1 
176 , 9466.51632112 , 6000.0 , 1 
177 , 8939.66772607 , 4200.0 , 1 
178 , 8408.61908568 , 6000.0 , 1 
179 , 8796.05315906 , 6000.0 , 1 
180 , 8998.43245411 , 6000.0 , 1 
181 , 8789.65989146 , 6000.0 , 1 
182 , 8416.74624913 , 6000.0 , 1 
183 , 8007.26048517 , 6000.0 , 1 
184 , 7622.26584287 , 40.0 , 1 
185 , 7286.79166954 , 781.065 , 1 
186 , 10510.0093464 , 507.692 , 1 
187 , 10468.8173664 , 40.0 , 1 
188 , 9645.52953875 , 40.0 , 1 
189 , 8641.88146243 , 870.711 , 1 
190 , 7330.05168184 , 6000.0 , 1 
191 , 5989.75533354 , 40.0 , 1 
192 , 12055.7221435 , 40.0 , 1 
193 , 11428.803018 , 40.0 , 1 
194 , 10007.8091097 , 865.303 , 1 
195 , 8371.58093999 , 6000.0 , 1 
196 , 6749.46327637 , 40.0 , 1 
197 , 12619.6701001 , 684.606 , 1 
198 , 11854.3507943 , 40.0 , 1 
199 , 9941.75842732 , 707.356 , 1 

 a,b = (0.25,0.25) 
101 , 10258.0521876 , 6000.0 , 1 
102 , 13311.7065403 , 4200.0 , 1 
103 , 14572.405455 , 40.0 , 1 
104 , 12495.7732535 , 40.0 , 1 
105 , 13154.4780684 , 40.0 , 1 
106 , 12705.3446475 , 74.0 , 1 
107 , 11661.1230578 , 1066.409 , 1 
108 , 10321.9282225 , 6000.0 , 1 
